id,speech_source,noise_type,noise_source,snr_db,impulse_timestamp_sec
pair_00018,data/clean/LibriSpeech\dev-clean\652\130726\652-130726-0008.wav,nonstationary,data/clean/musan/music\fma\music-fma-0032.wav,13.62,
pair_00019,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0035.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0110.wav,5.49,
pair_00020,data/clean/LibriSpeech\dev-clean\3536\23268\3536-23268-0014.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0071.wav,-3.78,
pair_00021,data/clean/LibriSpeech\dev-clean\84\121550\84-121550-0018.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0353.wav,-1.6,
pair_00022,data/clean/LibriSpeech\dev-clean\6313\76958\6313-76958-0002.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0817.wav,-3.37,
pair_00023,data/clean/LibriSpeech\dev-clean\6313\66129\6313-66129-0027.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0013.wav,6.17,
pair_00024,data/clean/LibriSpeech\dev-clean\7850\281318\7850-281318-0019.wav,impulsive,data/clean/SESA\train\gunshot_048.wav,8.88,0.5463125
pair_00025,data/clean/LibriSpeech\dev-clean\1462\170142\1462-170142-0018.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0081.wav,12.24,
pair_00026,data/clean/LibriSpeech\dev-clean\2277\149874\2277-149874-0012.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0419.wav + data/clean/SESA\test\explosion_040.wav,-3.24,0.1146875
pair_00027,data/clean/LibriSpeech\dev-clean\3000\15664\3000-15664-0043.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0672.wav,11.0,
pair_00028,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0024.wav,impulsive,data/clean/SESA\train\siren_044.wav,6.65,0.5499375
pair_00029,data/clean/LibriSpeech\dev-clean\6313\66125\6313-66125-0011.wav,impulsive,data/clean/SESA\train\explosion_112.wav,5.45,0.56
pair_00030,data/clean/LibriSpeech\dev-clean\422\122949\422-122949-0035.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0334.wav,11.86,
pair_00031,data/clean/LibriSpeech\dev-clean\652\130726\652-130726-0009.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0319.wav,11.22,
pair_00032,data/clean/LibriSpeech\dev-clean\6313\66129\6313-66129-0023.wav,impulsive,data/clean/SESA\train\gunshot_060.wav,10.89,0.5106875
pair_00033,data/clean/LibriSpeech\dev-clean\6295\64301\6295-64301-0023.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0152.wav,3.29,
pair_00034,data/clean/LibriSpeech\dev-clean\6345\64257\6345-64257-0005.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0421.wav,12.19,
pair_00035,data/clean/LibriSpeech\dev-clean\6295\64301\6295-64301-0017.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0788.wav + data/clean/SESA\test\explosion_189.wav,12.7,0.5135
pair_00036,data/clean/LibriSpeech\dev-clean\5895\34615\5895-34615-0008.wav,impulsive,data/clean/SESA\train\explosion_111.wav,3.7,0.2216875
pair_00037,data/clean/LibriSpeech\dev-clean\5895\34622\5895-34622-0015.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0103.wav + data/clean/SESA\train\siren_043.wav,10.44,1.4295
pair_00038,data/clean/LibriSpeech\dev-clean\1988\148538\1988-148538-0008.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0699.wav,4.69,
pair_00039,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0000.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0132.wav + data/clean/SESA\train\explosion_184.wav,-3.03,0.4715625
pair_00040,data/clean/LibriSpeech\dev-clean\2086\149220\2086-149220-0047.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0548.wav,-0.45,
pair_00041,data/clean/LibriSpeech\dev-clean\5895\34615\5895-34615-0013.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0055.wav,14.64,
pair_00042,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0071.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0311.wav,7.85,
pair_00043,data/clean/LibriSpeech\dev-clean\6313\76958\6313-76958-0027.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0761.wav,-0.85,
pair_00044,data/clean/LibriSpeech\dev-clean\1462\170145\1462-170145-0009.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0202.wav + data/clean/SESA\train\gunshot_078.wav,14.9,1.0808125
pair_00045,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0046.wav,impulsive,data/clean/SESA\train\explosion_098.wav,-4.26,0.7896875
pair_00046,data/clean/LibriSpeech\dev-clean\3752\4944\3752-4944-0005.wav,impulsive,data/clean/SESA\train\explosion_120.wav,-4.16,0.3703125
pair_00047,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0009.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0591.wav + data/clean/SESA\train\explosion_081.wav,12.47,0.8628125
pair_00048,data/clean/LibriSpeech\dev-clean\174\50561\174-50561-0000.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0659.wav + data/clean/SESA\train\siren_038.wav,11.73,0.069625
pair_00049,data/clean/LibriSpeech\dev-clean\6345\93302\6345-93302-0004.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0839.wav + data/clean/SESA\train\explosion_180.wav,10.79,0.018375
pair_00050,data/clean/LibriSpeech\dev-clean\1462\170145\1462-170145-0021.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0803.wav,12.48,
pair_00051,data/clean/LibriSpeech\dev-clean\5694\64029\5694-64029-0007.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0031.wav,-4.85,
pair_00052,data/clean/LibriSpeech\dev-clean\8297\275156\8297-275156-0007.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0011.wav,12.67,
pair_00053,data/clean/LibriSpeech\dev-clean\2035\152373\2035-152373-0000.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0019.wav,8.75,
pair_00054,data/clean/LibriSpeech\dev-clean\6345\93302\6345-93302-0001.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0356.wav,6.6,
pair_00055,data/clean/LibriSpeech\dev-clean\2277\149896\2277-149896-0016.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0569.wav,2.55,
pair_00056,data/clean/LibriSpeech\dev-clean\6295\244435\6295-244435-0019.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0068.wav,9.0,
pair_00057,data/clean/LibriSpeech\dev-clean\6319\64726\6319-64726-0014.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0538.wav + data/clean/SESA\test\explosion_052.wav,13.59,0.0963125
pair_00058,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0002.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0016.wav,-1.25,
pair_00059,data/clean/LibriSpeech\dev-clean\251\118436\251-118436-0019.wav,impulsive,data/clean/SESA\train\explosion_159.wav,-0.85,3.6771875
pair_00060,data/clean/LibriSpeech\dev-clean\1272\141231\1272-141231-0028.wav,impulsive,data/clean/SESA\train\siren_077.wav,4.46,0.455
pair_00061,data/clean/LibriSpeech\dev-clean\174\84280\174-84280-0010.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0035.wav,3.38,
pair_00062,data/clean/LibriSpeech\dev-clean\174\168635\174-168635-0018.wav,nonstationary,data/clean/musan/music\fma\music-fma-0080.wav,11.8,
pair_00063,data/clean/LibriSpeech\dev-clean\6313\66125\6313-66125-0018.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0010.wav,-4.6,
pair_00064,data/clean/LibriSpeech\dev-clean\2035\147961\2035-147961-0040.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0028.wav,-4.91,
pair_00065,data/clean/LibriSpeech\dev-clean\8297\275156\8297-275156-0004.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0304.wav,12.06,
pair_00066,data/clean/LibriSpeech\dev-clean\5338\284437\5338-284437-0002.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0472.wav + data/clean/SESA\test\explosion_113.wav,-3.74,1.36225
pair_00067,data/clean/LibriSpeech\dev-clean\6313\66125\6313-66125-0004.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0213.wav,6.11,
pair_00068,data/clean/LibriSpeech\dev-clean\84\121550\84-121550-0024.wav,impulsive,data/clean/SESA\train\explosion_150.wav,3.03,1.78025
pair_00069,data/clean/LibriSpeech\dev-clean\1673\143397\1673-143397-0004.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0532.wav,-1.63,
pair_00070,data/clean/LibriSpeech\dev-clean\251\118436\251-118436-0008.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0006.wav,3.76,
pair_00071,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0007.wav,impulsive,data/clean/SESA\train\explosion_122.wav,13.34,14.1503125
pair_00072,data/clean/LibriSpeech\dev-clean\6319\275224\6319-275224-0008.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0169.wav,-0.75,
pair_00073,data/clean/LibriSpeech\dev-clean\5338\284437\5338-284437-0006.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0076.wav,7.26,
pair_00074,data/clean/LibriSpeech\dev-clean\251\137823\251-137823-0026.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0029.wav,5.67,
pair_00075,data/clean/LibriSpeech\dev-clean\3000\15664\3000-15664-0043.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0047.wav,5.36,
pair_00076,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0022.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0219.wav,0.91,
pair_00077,data/clean/LibriSpeech\dev-clean\7850\73752\7850-73752-0008.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0055.wav + data/clean/SESA\train\siren_001.wav,14.3,0.1474375
pair_00078,data/clean/LibriSpeech\dev-clean\1988\148538\1988-148538-0005.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0017.wav,7.95,
pair_00079,data/clean/LibriSpeech\dev-clean\1988\148538\1988-148538-0010.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0472.wav + data/clean/SESA\train\explosion_154.wav,4.73,0.045875
pair_00080,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0005.wav,impulsive,data/clean/SESA\train\gunshot_056.wav,14.88,1.518125
pair_00081,data/clean/LibriSpeech\dev-clean\8297\275154\8297-275154-0024.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0109.wav,10.32,
pair_00082,data/clean/LibriSpeech\dev-clean\5536\43359\5536-43359-0010.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0007.wav + data/clean/SESA\train\explosion_037.wav,2.39,1.403375
pair_00083,data/clean/LibriSpeech\dev-clean\2035\152373\2035-152373-0007.wav,impulsive,data/clean/SESA\train\explosion_137.wav,-2.06,0.1995
pair_00084,data/clean/LibriSpeech\dev-clean\5694\64038\5694-64038-0013.wav,nonstationary,data/clean/musan/music\fma\music-fma-0006.wav,0.23,
pair_00085,data/clean/LibriSpeech\dev-clean\5536\43363\5536-43363-0006.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0544.wav,1.83,
pair_00086,data/clean/LibriSpeech\dev-clean\8297\275156\8297-275156-0007.wav,impulsive,data/clean/SESA\train\siren_088.wav,6.39,1.6285
pair_00087,data/clean/LibriSpeech\dev-clean\251\137823\251-137823-0010.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0047.wav + data/clean/SESA\train\explosion_020.wav,-4.74,0.6555625
pair_00088,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0034.wav,impulsive,data/clean/SESA\train\explosion_202.wav,10.07,0.1024375
pair_00089,data/clean/LibriSpeech\dev-clean\5694\64029\5694-64029-0003.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0018.wav,8.03,
pair_00090,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0008.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0025.wav + data/clean/SESA\train\siren_060.wav,10.54,0.21725
pair_00091,data/clean/LibriSpeech\dev-clean\5536\43359\5536-43359-0012.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0065.wav,12.29,
pair_00092,data/clean/LibriSpeech\dev-clean\5895\34615\5895-34615-0011.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0133.wav + data/clean/SESA\train\siren_036.wav,9.33,0.1254375
pair_00093,data/clean/LibriSpeech\dev-clean\2412\153954\2412-153954-0010.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0262.wav,8.61,
pair_00094,data/clean/LibriSpeech\dev-clean\6313\66125\6313-66125-0012.wav,impulsive,data/clean/SESA\test\gunshot_032.wav,-0.53,0.7690625
pair_00095,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0014.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0273.wav + data/clean/SESA\train\explosion_014.wav,-4.18,0.34025
pair_00096,data/clean/LibriSpeech\dev-clean\652\130726\652-130726-0029.wav,impulsive,data/clean/SESA\test\explosion_052.wav,3.22,3.1886875
pair_00097,data/clean/LibriSpeech\dev-clean\652\129742\652-129742-0011.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0097.wav + data/clean/SESA\train\gunshot_059.wav,-0.98,0.2118125
pair_00098,data/clean/LibriSpeech\dev-clean\1988\147956\1988-147956-0000.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0438.wav + data/clean/SESA\test\explosion_119.wav,8.01,9.7610625
pair_00099,data/clean/LibriSpeech\dev-clean\8297\275155\8297-275155-0030.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0811.wav,-0.73,
pair_00100,data/clean/LibriSpeech\dev-clean\5694\64029\5694-64029-0021.wav,impulsive,data/clean/SESA\train\gunshot_056.wav,-0.12,0.367
pair_00101,data/clean/LibriSpeech\dev-clean\1462\170142\1462-170142-0012.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0196.wav,6.96,
pair_00102,data/clean/LibriSpeech\dev-clean\6241\61946\6241-61946-0010.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0833.wav + data/clean/SESA\train\gunshot_036.wav,2.42,0.2560625
pair_00103,data/clean/LibriSpeech\dev-clean\5338\24615\5338-24615-0002.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0634.wav,10.33,
pair_00104,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0024.wav,impulsive,data/clean/SESA\test\explosion_203.wav,5.35,11.4945
pair_00105,data/clean/LibriSpeech\dev-clean\2428\83705\2428-83705-0026.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0733.wav,4.7,
pair_00106,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0035.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0032.wav,5.76,
pair_00107,data/clean/LibriSpeech\dev-clean\2803\154320\2803-154320-0006.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0211.wav,-3.12,
pair_00108,data/clean/LibriSpeech\dev-clean\3536\8226\3536-8226-0022.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0725.wav,13.53,
pair_00109,data/clean/LibriSpeech\dev-clean\3752\4944\3752-4944-0065.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0132.wav + data/clean/SESA\train\explosion_179.wav,2.03,0.799
pair_00110,data/clean/LibriSpeech\dev-clean\1272\135031\1272-135031-0004.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0650.wav + data/clean/SESA\train\explosion_176.wav,-3.85,0.452
pair_00111,data/clean/LibriSpeech\dev-clean\84\121123\84-121123-0025.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0741.wav,1.02,
pair_00112,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0014.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0800.wav,2.07,
pair_00113,data/clean/LibriSpeech\dev-clean\7850\281318\7850-281318-0022.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0049.wav + data/clean/SESA\train\explosion_115.wav,9.05,0.1845
pair_00114,data/clean/LibriSpeech\dev-clean\8842\304647\8842-304647-0002.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0432.wav,12.62,
pair_00115,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0082.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0582.wav + data/clean/SESA\train\explosion_162.wav,6.87,4.1764375
pair_00116,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0010.wav,impulsive,data/clean/SESA\train\gunshot_006.wav,-0.9,0.061
pair_00117,data/clean/LibriSpeech\dev-clean\5694\64025\5694-64025-0001.wav,impulsive,data/clean/SESA\train\explosion_115.wav,13.22,0.921125
pair_00118,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0082.wav,impulsive,data/clean/SESA\train\explosion_178.wav,14.73,0.1565
pair_00119,data/clean/LibriSpeech\dev-clean\2902\9008\2902-9008-0002.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0257.wav + data/clean/SESA\train\explosion_087.wav,-3.8,6.01675
pair_00120,data/clean/LibriSpeech\dev-clean\5895\34629\5895-34629-0017.wav,impulsive,data/clean/SESA\train\explosion_101.wav,5.02,1.951375
pair_00121,data/clean/LibriSpeech\dev-clean\1988\24833\1988-24833-0026.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0536.wav,7.07,
pair_00122,data/clean/LibriSpeech\dev-clean\2035\152373\2035-152373-0005.wav,impulsive,data/clean/SESA\train\explosion_068.wav,2.04,1.1640625
pair_00123,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0048.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0123.wav,1.1,
pair_00124,data/clean/LibriSpeech\dev-clean\8297\275156\8297-275156-0005.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0055.wav,10.82,
pair_00125,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0029.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0111.wav + data/clean/SESA\train\explosion_178.wav,-2.6,0.4193125
pair_00126,data/clean/LibriSpeech\dev-clean\6319\275224\6319-275224-0015.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0056.wav,3.88,
pair_00127,data/clean/LibriSpeech\dev-clean\2086\149220\2086-149220-0048.wav,impulsive,data/clean/SESA\test\gunshot_032.wav,1.4,0.566875
pair_00128,data/clean/LibriSpeech\dev-clean\8842\302196\8842-302196-0006.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0029.wav + data/clean/SESA\train\siren_032.wav,8.44,0.5994375
pair_00129,data/clean/LibriSpeech\dev-clean\5694\64025\5694-64025-0018.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0192.wav,3.19,
pair_00130,data/clean/LibriSpeech\dev-clean\1462\170145\1462-170145-0003.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0053.wav,-0.54,
pair_00131,data/clean/LibriSpeech\dev-clean\8842\304647\8842-304647-0003.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0033.wav + data/clean/SESA\train\gunshot_004.wav,5.41,3.7840625
pair_00132,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0029.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0013.wav + data/clean/SESA\train\explosion_137.wav,10.94,0.114125
pair_00133,data/clean/LibriSpeech\dev-clean\2035\147961\2035-147961-0003.wav,impulsive,data/clean/SESA\test\gunshot_041.wav,0.77,1.0935625
pair_00134,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0043.wav,nonstationary,data/clean/musan/music\fma\music-fma-0116.wav,6.48,
pair_00135,data/clean/LibriSpeech\dev-clean\2428\83705\2428-83705-0039.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0228.wav,2.77,
pair_00136,data/clean/LibriSpeech\dev-clean\1919\142785\1919-142785-0002.wav,impulsive,data/clean/SESA\train\siren_077.wav,11.79,2.83525
pair_00137,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0011.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0037.wav + data/clean/SESA\train\siren_034.wav,14.83,1.4658125
pair_00138,data/clean/LibriSpeech\dev-clean\652\130726\652-130726-0017.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0075.wav,7.05,
pair_00139,data/clean/LibriSpeech\dev-clean\2803\154320\2803-154320-0004.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0390.wav + data/clean/SESA\train\explosion_187.wav,3.79,5.789375
pair_00140,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0064.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0006.wav,11.93,
pair_00141,data/clean/LibriSpeech\dev-clean\1272\128104\1272-128104-0002.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0155.wav,11.1,
pair_00142,data/clean/LibriSpeech\dev-clean\1993\147149\1993-147149-0011.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0236.wav + data/clean/SESA\train\gunshot_043.wav,-0.59,0.2538125
pair_00143,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0036.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0166.wav,-1.49,
pair_00144,data/clean/LibriSpeech\dev-clean\6295\244435\6295-244435-0019.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0713.wav,-3.14,
pair_00145,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0065.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0040.wav + data/clean/SESA\train\explosion_180.wav,12.93,1.172
pair_00146,data/clean/LibriSpeech\dev-clean\5694\64029\5694-64029-0012.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0438.wav,-4.58,
pair_00147,data/clean/LibriSpeech\dev-clean\2803\161169\2803-161169-0010.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0017.wav,3.11,
pair_00148,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0034.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0373.wav + data/clean/SESA\train\gunshot_086.wav,-3.82,0.25125
pair_00149,data/clean/LibriSpeech\dev-clean\1988\147956\1988-147956-0027.wav,impulsive,data/clean/SESA\train\explosion_198.wav,0.51,3.972375
pair_00150,data/clean/LibriSpeech\dev-clean\5895\34615\5895-34615-0008.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0010.wav,1.11,
pair_00151,data/clean/LibriSpeech\dev-clean\6345\93306\6345-93306-0016.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0012.wav,-0.75,
pair_00152,data/clean/LibriSpeech\dev-clean\6295\244435\6295-244435-0026.wav,impulsive,data/clean/SESA\train\gunshot_010.wav,13.72,1.3061875
pair_00153,data/clean/LibriSpeech\dev-clean\2412\153954\2412-153954-0024.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0094.wav,10.74,
pair_00154,data/clean/LibriSpeech\dev-clean\2412\153947\2412-153947-0015.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0129.wav + data/clean/SESA\train\explosion_152.wav,-2.98,1.93975
pair_00155,data/clean/LibriSpeech\dev-clean\1462\170142\1462-170142-0006.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0345.wav + data/clean/SESA\train\explosion_133.wav,6.71,0.2833125
pair_00156,data/clean/LibriSpeech\dev-clean\6241\61943\6241-61943-0008.wav,impulsive,data/clean/SESA\test\explosion_195.wav,13.95,1.9060625
pair_00157,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0035.wav,impulsive,data/clean/SESA\train\explosion_115.wav,3.96,0.6838125
pair_00158,data/clean/LibriSpeech\dev-clean\6313\66129\6313-66129-0013.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0778.wav,10.02,
pair_00159,data/clean/LibriSpeech\dev-clean\5895\34622\5895-34622-0020.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0099.wav,6.32,
